sampleIndex,timestamp,HR0,HR1,HR2,HR3,HR4,HR5,HR6,HR7,HR8,HR9,HR10,HR11,HR12,HR13,HR14,HR15,HR16,HR17,HR18,HR19,HR20,HR21,HR22,HR23,HR24,HR25,HR26,HR27,HR28,HR29,HR30,HR31,HR32,HR33,HR34,HR35,HR36,HR37,HR38,HR39,HR40,HR41,HR42,HR43,HR44,HR45,HR46,HR47,HR48,HR49,HR50,HR51,HR52,HR53,HR54,HR55,HR56,HR57,HR58,HR59
0,2026-04-08T09:37:47.010665,1,257,257,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0,256,0,0,0,256,0,0,0,0,19,0,0,0,0,0,0,0,51,0,0,0,0,0,0
1,2026-04-08T09:37:47.612749,1,257,257,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0,256,0,0,0,256,0,0,0,0,19,0,0,0,0,0,0,0,51,0,0,0,0,0,0
2,2026-04-08T09:37:48.211426,1,257,257,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0,256,0,0,0,256,0,0,0,0,19,0,0,0,0,0,0,0,51,0,0,0,0,0,0
3,2026-04-08T09:37:48.929654,1,257,257,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0,256,0,0,0,256,0,0,0,0,19,0,0,0,0,0,0,0,51,0,0,0,0,0,0
4,2026-04-08T09:37:49.533541,1,257,257,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0,256,0,0,0,256,0,0,0,0,19,0,0,0,0,0,0,0,51,0,0,0,0,0,0
5,2026-04-08T09:37:50.144649,1,257,257,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0,256,0,0,0,256,0,0,0,0,19,0,0,0,0,0,0,0,51,0,0,0,0,0,0
6,2026-04-08T09:37:50.750937,1,257,257,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0,256,0,0,0,256,0,0,0,0,19,0,0,0,0,0,0,0,51,0,0,0,0,0,0
7,2026-04-08T09:37:51.353669,1,257,257,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0,256,0,0,0,256,0,0,0,0,19,0,0,0,0,0,0,0,51,0,0,0,0,0,0
8,2026-04-08T09:37:51.970829,1,257,257,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0,256,0,0,0,256,0,0,0,0,19,0,0,0,0,0,0,0,51,0,0,0,0,0,0
9,2026-04-08T09:37:52.573845,1,257,257,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0,256,0,0,0,256,0,0,0,0,19,0,0,0,0,0,0,0,51,0,0,0,0,0,0
